Initial Pub Offer (Date),IssuerTicker2,IssuerTickerOG,Ticker,Issuer Name,Currency,Country/Region,Initial Pub Offer (Share Price),Initial Pub Offer (Shares Offered),Offer Type,Offer Price,Offer To Date,Pricing Date,Total Debt/Total Assets,Historical Market Cap,Revenues,Size of the Board,% Women on Board,Number of Women on Board,CEO or Equivalent is a Woman,CFO or Equivalent is a Woman,Listing Date,First-Day Closing Price,ID_ISIN,ID_CUSIP,CENTRAL_INDEX_KEY_NUMBER,IPO DATE PLUS 1 M,IPO PRICE AFTER 1M,IPO DATE PLUS 3M,IPO PRICE AFTER 1M,IPO DATE PLUS 6M,IPO PRICE AFTER 6M,IPO DATE PLUS 1 Y,IPO PRICE AFTER 1Y,IPO DATE PLUS 3Y,IPO PRICE AFTER 3Y,IPO DATE PLUS 5Y,IPO PRICE AFTER 5Y,BOARD_SIZE
N.A.,2206886D CN Equity,2206886D CN,2206886D CN,Candyverse Brands Inc,CAD,CA,0.4,6.00E+06,"IPO,Primary Share Offering,Best Efforts",0.4,,11/8/2022,3.7,,0.5,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#NAME?
11/24/2021,INFM CN Equity,INFM CN,INFM CN,Infinico Metals Corp,CAD,CA,0.69,3.26E+06,"IPO,Primary Share Offering,Best Efforts",0.69,-97.82608696,11/22/2021,,1.5,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/24/2021,#NAME?,2/24/2022,#NAME?,5/24/2022,#NAME?,11/24/2022,#NAME?,11/24/2024,#NAME?,11/24/2026,#NAME?,#NAME?
9/16/2008,2747882Z CN Equity,2747882Z CN,2747882Z CN,Organto Foods Inc,CAD,CA,0.25,7.21E+06,"IPO,Primary Share Offering,Best Efforts",0.25,,3/26/2008,7.8,,20.5,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,10/16/2008,#NAME?,12/16/2008,#NAME?,3/16/2009,#NAME?,9/16/2009,#NAME?,9/16/2011,#NAME?,9/16/2013,#NAME?,#NAME?
12/14/2018,PLNT/X CN Equity,PLNT/X CN,PLNT/X CN,Better Plant Sciences Inc,CAD,CA,0.5,4.48E+06,"IPO,Primary Share Offering,Best Efforts",0.5,,10/5/2018,61.1,0.5,0.4,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1/14/2019,#NAME?,3/14/2019,#NAME?,6/14/2019,#NAME?,12/14/2019,#NAME?,12/14/2021,#NAME?,12/14/2023,#NAME?,#NAME?
1/4/2021,ETU CN Equity,ETU CN,ETU CN,E2Gold Inc,CAD,CA,0.2,1.10E+07,"IPO,Primary Share Offering,REG S,Rule 144A",0.2,-95,12/30/2020,,1.6,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,2/4/2021,#NAME?,4/4/2021,#NAME?,7/4/2021,#NAME?,1/4/2022,#NAME?,1/4/2024,#NAME?,1/4/2026,#NAME?,#NAME?
3/8/2024,GLDR CN Equity,GLDR CN,GLDR CN,Golden Rapture Mining Corp,CAD,CA,0.15,1.50E+07,"IPO,Primary Share Offering,Best Efforts,Private Placement",0.15,-50,12/14/2023,,2.5,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/8/2024,#NAME?,6/8/2024,#NAME?,9/8/2024,#NAME?,3/8/2025,#NAME?,3/8/2027,#NAME?,3/8/2029,#NAME?,#NAME?
1/8/2019,1630082D CN Equity,1630082D CN,1630082D CN,TransCanna Holdings Inc,CAD,CA,0.5,4.40E+06,"IPO,Primary Share Offering,Best Efforts,REG S",0.5,,6/22/2018,58.7,2.9,3.1,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,2/8/2019,#NAME?,4/8/2019,#NAME?,7/8/2019,#NAME?,1/8/2020,#NAME?,1/8/2022,#NAME?,1/8/2024,#NAME?,#NAME?
12/21/2018,FFOX CN Equity,FFOX CN,FFOX CN,FireFox Gold Corp,CAD,CA,0.4,5.28E+06,"IPO,Primary Share Offering,Best Efforts,REG S",0.4,-90,10/11/2018,,6,,4,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1/21/2019,#NAME?,3/21/2019,#NAME?,6/21/2019,#NAME?,12/21/2019,#NAME?,12/21/2021,#NAME?,12/21/2023,#NAME?,#NAME?
6/30/2005,SA/H CN Equity,SA/H CN,SA/H CN,Southern Arc Minerals Inc,CAD,CA,0.25,8.00E+06,"IPO,Best Efforts",0.25,-92.47357293,4/15/2005,,0.6,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,7/30/2005,#NAME?,9/30/2005,#NAME?,12/30/2005,#NAME?,6/30/2006,#NAME?,6/30/2008,#NAME?,6/30/2010,#NAME?,#NAME?
9/26/2024,BRAZ CN Equity,BRAZ CN,BRAZ CN,Canary Gold Corp,CAD,CA,0.17,1.29E+07,"IPO,Primary Share Offering,Best Efforts,REG S",0.17,52.94117355,6/26/2024,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,10/26/2024,#NAME?,12/26/2024,#NAME?,3/26/2025,#NAME?,9/26/2025,#NAME?,9/26/2027,#NAME?,9/26/2029,#NAME?,#NAME?
3/20/2018,PEMC CN Equity,PEMC CN,PEMC CN,Pacific Empire Minerals Corp,CAD,CA,0.2,1.00E+07,"IPO,Primary Share Offering,Best Efforts,REG S,Rule 144A",0.2,-82.5,8/28/2017,2.3,2.9,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/20/2018,#NAME?,6/20/2018,#NAME?,9/20/2018,#NAME?,3/20/2019,#NAME?,3/20/2021,#NAME?,3/20/2023,#NAME?,#NAME?
4/22/2021,PEAS/H CN Equity,PEAS/H CN,PEAS/H CN,Global Food & Ingredients Ltd,CAD,CA,0.2,1.00E+07,"IPO,Primary Share Offering,SPAC,Best Efforts",0.2,-89.5,3/23/2021,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,5/22/2021,#NAME?,7/22/2021,#NAME?,10/22/2021,#NAME?,4/22/2022,#NAME?,4/22/2024,#NAME?,4/22/2026,#NAME?,#NAME?
6/19/2014,GXU CN Equity,GXU CN,GXU CN,GoviEx Uranium Inc,CAD,CA,2.15,739800,"IPO,Primary Share Offering,Best Efforts",2.15,-97.47196515,3/31/2014,,87.2,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,7/19/2014,#NAME?,9/19/2014,#NAME?,12/19/2014,#NAME?,6/19/2015,#NAME?,6/19/2017,#NAME?,6/19/2019,#NAME?,#NAME?
11/25/2021,MONA/P CN Equity,MONA/P CN,MONA/P CN,Monarch West Ventures Inc,CAD,CA,0.1,2.00E+07,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,-35,8/26/2021,,1.3,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/25/2021,#NAME?,2/25/2022,#NAME?,5/25/2022,#NAME?,11/25/2022,#NAME?,11/25/2024,#NAME?,11/25/2026,#NAME?,#NAME?
6/26/2012,NELu CN Equity,NELu CN,NEL-U CN,Nobel Real Estate Investment Trust,CAD,CA,0.2,7.90E+06,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts",0.2,,4/16/2012,60.1,21.6,8.7,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,7/26/2012,#NAME?,9/26/2012,#NAME?,12/26/2012,#NAME?,6/26/2013,#NAME?,6/26/2015,#NAME?,6/26/2017,#NAME?,#NAME?
4/26/2022,ZLTO CN Equity,ZLTO CN,ZLTO CN,BULGOLD Inc,CAD,CA,0.1,2.00E+07,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,-83.33333333,2/8/2022,,1.9,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,5/26/2022,#NAME?,7/26/2022,#NAME?,10/26/2022,#NAME?,4/26/2023,#NAME?,4/26/2025,#NAME?,4/26/2027,#NAME?,#NAME?
2/25/2021,1819198D CN Equity,1819198D CN,1819198D CN,Hero Innovation Group Inc,CAD,CA,0.25,8.38E+06,"IPO,Primary Share Offering,Best Efforts,REG S",0.25,,7/31/2020,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,3/25/2021,#NAME?,5/25/2021,#NAME?,8/25/2021,#NAME?,2/25/2022,#NAME?,2/25/2024,#NAME?,2/25/2026,#NAME?,#NAME?
7/5/2022,KIB CN Equity,KIB CN,KIB CN,Kiboko Gold Inc,CAD,CA,0.25,8.00E+06,"IPO,Primary Share Offering,Best Efforts",0.25,-96,6/23/2022,,0.4,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,8/5/2022,#NAME?,10/5/2022,#NAME?,1/5/2023,#NAME?,7/5/2023,#NAME?,7/5/2025,#NAME?,7/5/2027,#NAME?,#NAME?
11/29/2018,SPFY CN Equity,SPFY CN,SPFY CN,Spacefy Inc,CAD,CA,0.15,1.34E+07,"IPO,Primary Share Offering,Best Efforts",0.15,-90,7/27/2018,1551.4,0.1,0.000389113,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/29/2018,#NAME?,2/28/2019,#NAME?,5/29/2019,#NAME?,11/29/2019,#NAME?,11/29/2021,#NAME?,11/29/2023,#NAME?,#NAME?
10/11/2019,INIK CN Equity,INIK CN,INIK CN,Ionik Corp,CAD,CA,0.1,2.00E+07,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,-88.125,8/12/2019,67.6,27.2,140.6,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,11/11/2019,#NAME?,1/11/2020,#NAME?,4/11/2020,#NAME?,10/11/2020,#NAME?,10/11/2022,#NAME?,10/11/2024,#NAME?,#NAME?
5/11/2001,SUM CN Equity,SUM CN,SUM CN,Solium Capital Inc,CAD,CA,1,2.30E+06,IPO,1,,5/11/2001,5.8,490.8,108.3,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,6/11/2001,#NAME?,8/11/2001,#NAME?,11/11/2001,#NAME?,5/11/2002,#NAME?,5/11/2004,#NAME?,5/11/2006,#NAME?,#NAME?
9/23/2020,HMRK/H CN Equity,HMRK/H CN,HMRK/H CN,Highmark Interactive Inc,CAD,CA,0.1,2.00E+07,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,,7/29/2020,42.5,4.9,0.8,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,10/23/2020,#NAME?,12/23/2020,#NAME?,3/23/2021,#NAME?,9/23/2021,#NAME?,9/23/2023,#NAME?,9/23/2025,#NAME?,#NAME?
5/22/2020,LIDA CN Equity,LIDA CN,LIDA CN,Lida Resources Inc,CAD,CA,0.1,1.95E+07,"IPO,Primary Share Offering,Best Efforts",0.1,,7/23/2019,655.7,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,6/22/2020,#NAME?,8/22/2020,#NAME?,11/22/2020,#NAME?,5/22/2021,#NAME?,5/22/2023,#NAME?,5/22/2025,#NAME?,#NAME?
3/13/2019,CUSP/P CN Equity,CUSP/P CN,CUSP/P CN,Cuspis Capital Ltd,CAD,CA,0.2,1.00E+07,"IPO,Primary Share Offering,SPAC,Best Efforts",0.2,,12/18/2018,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/13/2019,#NAME?,6/13/2019,#NAME?,9/13/2019,#NAME?,3/13/2020,#NAME?,3/13/2022,#NAME?,3/13/2024,#NAME?,#NAME?
2/24/2006,TPH CN Equity,TPH CN,TPH CN,Temple Hotels Inc,CAD,CA,0.3,5.67E+06,"IPO,Primary Share Offering,Best Efforts",0.3,,1/25/2006,101.8,99.2,127.9,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,3/24/2006,#NAME?,5/24/2006,#NAME?,8/24/2006,#NAME?,2/24/2007,#NAME?,2/24/2009,#NAME?,2/24/2011,#NAME?,#NAME?
3/30/2017,SIQ/H CN Equity,SIQ/H CN,SIQ/H CN,SIQ Mountain Industries Inc,CAD,CA,0.1,2.00E+07,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,-60,11/14/2016,,1.2,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/30/2017,#NAME?,6/30/2017,#NAME?,9/30/2017,#NAME?,3/30/2018,#NAME?,3/30/2020,#NAME?,3/30/2022,#NAME?,#NAME?
5/1/2020,1773054D CN Equity,1773054D CN,1773054D CN,New Leaf Ventures Inc,CAD,CA,0.25,7.76E+06,"IPO,Primary Share Offering,Best Efforts,REG S,Rule 144A",0.25,,12/13/2019,,,1.5,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,6/1/2020,#NAME?,8/1/2020,#NAME?,11/1/2020,#NAME?,5/1/2021,#NAME?,5/1/2023,#NAME?,5/1/2025,#NAME?,#NAME?
3/13/2015,1089543D CN Equity,1089543D CN,1089543D CN,Vertical Peak Holdings Inc,CAD,CA,0.05,3.29E+07,"IPO,Primary Share Offering,Best Efforts,REG S,Rule 144A",0.05,,1/23/2015,95.8,,4.9,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/13/2015,#NAME?,6/13/2015,#NAME?,9/13/2015,#NAME?,3/13/2016,#NAME?,3/13/2018,#NAME?,3/13/2020,#NAME?,#NAME?
6/30/2010,BLDS CN Equity,BLDS CN,BLDS CN,Badlands Resources Inc,CAD,CA,0.25,5.00E+06,"IPO,Primary Share Offering,Best Efforts",0.3,-98.9,6/2/2010,,1.3,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,7/30/2010,#NAME?,9/30/2010,#NAME?,12/30/2010,#NAME?,6/30/2011,#NAME?,6/30/2013,#NAME?,6/30/2015,#NAME?,#NAME?
3/20/2024,2447440D CN Equity,2447440D CN,2447440D CN,Tower Development Trust,CAD,CA,10,195000,"IPO,Primary Share Offering",10,,3/12/2024,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/20/2024,#NAME?,6/20/2024,#NAME?,9/20/2024,#NAME?,3/20/2025,#NAME?,3/20/2027,#NAME?,3/20/2029,#NAME?,#NAME?
10/30/2007,ACB CN Equity,ACB CN,ACB CN,Aurora Cannabis Inc,CAD,CA,0.15,1.00E+07,"IPO,Primary Share Offering,SPAC,Best Efforts",0.15,-64.5,7/26/2007,12.4,233,200.4,8,25,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,11/30/2007,#NAME?,1/30/2008,#NAME?,4/30/2008,#NAME?,10/30/2008,#NAME?,10/30/2010,#NAME?,10/30/2012,#NAME?,#NAME?
10/12/2005,SLA CN Equity,SLA CN,SLA CN,Solutrea Corp,CAD,CA,0.2,8.71E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.2,,7/8/2005,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,11/12/2005,#NAME?,1/12/2006,#NAME?,4/12/2006,#NAME?,10/12/2006,#NAME?,10/12/2008,#NAME?,10/12/2010,#NAME?,#NAME?
2/28/2018,MPLS CN Equity,MPLS CN,MPLS CN,GoverMedia Plus Canada Corp,CAD,CA,0.5,3.55E+06,"IPO,Primary Share Offering,Best Efforts",0.5,,11/10/2017,,6.6,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,3/28/2018,#NAME?,5/28/2018,#NAME?,8/28/2018,#NAME?,2/28/2019,#NAME?,2/28/2021,#NAME?,2/28/2023,#NAME?,#NAME?
8/22/2019,KLD CN Equity,KLD CN,KLD CN,Kenorland Minerals Ltd,CAD,CA,0.1,1.85E+07,"IPO,Primary Share Offering,Best Efforts,REG S",0.1,94.28571429,6/10/2019,,3.3,1.6,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,9/22/2019,#NAME?,11/22/2019,#NAME?,2/22/2020,#NAME?,8/22/2020,#NAME?,8/22/2022,#NAME?,8/22/2024,#NAME?,#NAME?
6/16/2017,SUVA/A CN Equity,SUVA/A CN,SUVA/A CN,Starlight US Multi-Family No 1 Value Add Fund,CAD,CA,10,1.83E+06,"IPO,Primary Share Offering,Best Efforts,REG S,Rule 144A",10,,5/3/2017,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,7/16/2017,#NAME?,9/16/2017,#NAME?,12/16/2017,#NAME?,6/16/2018,#NAME?,6/16/2020,#NAME?,6/16/2022,#NAME?,#NAME?
5/26/2005,ZMD/H CN Equity,ZMD/H CN,ZMD/H CN,ZoomMed Inc,CAD,CA,0.2,8.50E+06,"IPO,Primary Share Offering,Best Efforts",0.2,,4/13/2005,,,0.3,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,6/26/2005,#NAME?,8/26/2005,#NAME?,11/26/2005,#NAME?,5/26/2006,#NAME?,5/26/2008,#NAME?,5/26/2010,#NAME?,#NAME?
1/26/2006,BTBu CN Equity,BTBu CN,BTB-U CN,BTB Real Estate Investment Trust,CAD,CA,0.2,8.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.2,-32.4,1/17/2006,58.7,205.5,94.9,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,2/26/2006,#NAME?,4/26/2006,#NAME?,7/26/2006,#NAME?,1/26/2007,#NAME?,1/26/2009,#NAME?,1/26/2011,#NAME?,#NAME?
2/28/2006,4125525Q CN Equity,4125525Q CN,4125525Q CN,Golden Oasis Exploration Corp,CAD,CA,0.4,4.00E+06,"IPO,Primary Share Offering,Best Efforts",0.4,,12/22/2005,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,3/28/2006,#NAME?,5/28/2006,#NAME?,8/28/2006,#NAME?,2/28/2007,#NAME?,2/28/2009,#NAME?,2/28/2011,#NAME?,#NAME?
10/7/2016,EREu CN Equity,EREu CN,ERE-U CN,European Residential Real Estate Investment Trust,CAD,CA,0.1,1.77E+07,"IPO,Primary Share Offering,SPAC",0.1,-19.36,9/2/2016,,618.6,100.5,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,11/7/2016,#NAME?,1/7/2017,#NAME?,4/7/2017,#NAME?,10/7/2017,#NAME?,10/7/2019,#NAME?,10/7/2021,#NAME?,#NAME?
8/25/2011,ARS CN Equity,ARS CN,ARS CN,Ares Strategic Mining Inc,CAD,CA,0.33,1.52E+07,"IPO,Primary Share Offering,Best Efforts,Private Placement,QIP",0.08,118.75,11/19/2019,20.9,25.8,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,9/25/2011,#NAME?,11/25/2011,#NAME?,2/25/2012,#NAME?,8/25/2012,#NAME?,8/25/2014,#NAME?,8/25/2016,#NAME?,#NAME?
10/25/2010,SIP/H CN Equity,SIP/H CN,SIP/H CN,Sniper Resources Ltd,CAD,CA,0.25,5.42E+06,"IPO,Primary Share Offering,Best Efforts",0.25,,6/22/2010,3146.8,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,11/25/2010,#NAME?,1/25/2011,#NAME?,4/25/2011,#NAME?,10/25/2011,#NAME?,10/25/2013,#NAME?,10/25/2015,#NAME?,#NAME?
10/16/2018,PGLD CN Equity,PGLD CN,PGLD CN,P2 Gold Inc,CAD,CA,0.1,1.50E+07,"IPO,Primary Share Offering,Best Efforts,REG S,Rule 144A",0.1,-86.66666667,7/25/2018,211.4,6.8,,5,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,11/16/2018,#NAME?,1/16/2019,#NAME?,4/16/2019,#NAME?,10/16/2019,#NAME?,10/16/2021,#NAME?,10/16/2023,#NAME?,#NAME?
3/1/2006,PEM/H CN Equity,PEM/H CN,PEM/H CN,Premium Exploration Inc,CAD,CA,0.3,5.00E+06,"IPO,Primary Share Offering,Best Efforts",0.3,,2/9/2006,8.6,0.5,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/1/2006,#NAME?,6/1/2006,#NAME?,9/1/2006,#NAME?,3/1/2007,#NAME?,3/1/2009,#NAME?,3/1/2011,#NAME?,#NAME?
3/23/2006,XDC CN Equity,XDC CN,XDC CN,Xtreme Drilling Corp,CAD,CA,0.15,1.00E+07,"IPO,Primary Share Offering,SPAC,Best Efforts",0.15,,11/29/2005,2.9,122.6,47.8,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/23/2006,#NAME?,6/23/2006,#NAME?,9/23/2006,#NAME?,3/23/2007,#NAME?,3/23/2009,#NAME?,3/23/2011,#NAME?,#NAME?
3/1/2006,DCNN CN Equity,DCNN CN,DCNN CN,Digicann Ventures Inc,CAD,CA,0.3,5.00E+06,"IPO,Primary Share Offering,Best Efforts",0.3,N/A,11/25/2005,155.5,0.3,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/1/2006,#NAME?,6/1/2006,#NAME?,9/1/2006,#NAME?,3/1/2007,#NAME?,3/1/2009,#NAME?,3/1/2011,#NAME?,#NAME?
3/14/2006,TTQ/H CN Equity,TTQ/H CN,TTQ/H CN,TTM Resources Inc,CAD,CA,0.3,5.00E+06,"IPO,Primary Share Offering,Best Efforts",0.3,,3/14/2006,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/14/2006,#NAME?,6/14/2006,#NAME?,9/14/2006,#NAME?,3/14/2007,#NAME?,3/14/2009,#NAME?,3/14/2011,#NAME?,#NAME?
9/13/2021,GLDS CN Equity,GLDS CN,GLDS CN,Golden Spike Resources Corp,CAD,CA,0.25,6.00E+06,"IPO,Primary Share Offering,Best Efforts",0.25,-84,6/4/2021,,3.7,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,10/13/2021,#NAME?,12/13/2021,#NAME?,3/13/2022,#NAME?,9/13/2022,#NAME?,9/13/2024,#NAME?,9/13/2026,#NAME?,#NAME?
5/31/2005,0612263D CN Equity,0612263D CN,0612263D CN,Realex Properties Corp,CAD,CA,0.3,5.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.3,,3/23/2005,49.8,124.3,55.6,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,6/30/2005,#NAME?,8/31/2005,#NAME?,11/30/2005,#NAME?,5/31/2006,#NAME?,5/31/2008,#NAME?,5/31/2010,#NAME?,#NAME?
10/12/2021,AUUA CN Equity,AUUA CN,AUUA CN,Aluula Composites Inc,CAD,CA,0.1,1.50E+07,"IPO,Primary Share Offering,SPAC,Best Efforts,REG S",0.1,1.538461538,6/16/2021,6.7,17.1,4.6,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,11/12/2021,#NAME?,1/12/2022,#NAME?,4/12/2022,#NAME?,10/12/2022,#NAME?,10/12/2024,#NAME?,10/12/2026,#NAME?,#NAME?
9/28/2005,MEN/H CN Equity,MEN/H CN,MEN/H CN,Magnum Energy Inc/Canada,CAD,CA,0.75,2.00E+06,"IPO,Primary Share Offering,Best Efforts",0.75,,6/27/2005,52.6,3.4,2.6,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,10/28/2005,#NAME?,12/28/2005,#NAME?,3/28/2006,#NAME?,9/28/2006,#NAME?,9/28/2008,#NAME?,9/28/2010,#NAME?,#NAME?
10/18/2016,STUS/A CN Equity,STUS/A CN,STUS/A CN,Starlight US Multi-Family No 5 Core Fund,CAD,CA,10,2.00E+06,"IPO,Primary Share Offering",10,,9/6/2016,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,11/18/2016,#NAME?,1/18/2017,#NAME?,4/18/2017,#NAME?,10/18/2017,#NAME?,10/18/2019,#NAME?,10/18/2021,#NAME?,#NAME?
2/15/2022,MAXX CN Equity,MAXX CN,MAXX CN,Max Power Mining Corp,CAD,CA,0.25,6.00E+06,"IPO,Primary Share Offering,Best Efforts",0.25,-22,7/13/2021,,15.4,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,3/15/2022,#NAME?,5/15/2022,#NAME?,8/15/2022,#NAME?,2/15/2023,#NAME?,2/15/2025,#NAME?,2/15/2027,#NAME?,#NAME?
4/10/2023,2225805D CN Equity,2225805D CN,2225805D CN,Hertz Energy Inc,CAD,CA,0.125,1.29E+07,"IPO,Primary Share Offering",0.125,,2/16/2023,,0.7,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,5/10/2023,#NAME?,7/10/2023,#NAME?,10/10/2023,#NAME?,4/10/2024,#NAME?,4/10/2026,#NAME?,4/10/2028,#NAME?,#NAME?
4/17/2008,CSO/H CN Equity,CSO/H CN,CSO/H CN,Corsa Coal Corp,CAD,CA,0.35,3.50E+06,"IPO,Primary Share Offering,Best Efforts",0.35,-96.85714286,1/22/2008,11.3,14.2,197.1,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,5/17/2008,#NAME?,7/17/2008,#NAME?,10/17/2008,#NAME?,4/17/2009,#NAME?,4/17/2011,#NAME?,4/17/2013,#NAME?,#NAME?
1/18/2010,2968932Z CN Equity,2968932Z CN,2968932Z CN,Quest Critical Metals Inc,CAD,CA,0.15,8.00E+06,"IPO,Primary Share Offering,Best Efforts",0.15,,8/22/2008,77.2,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,2/18/2010,#NAME?,4/18/2010,#NAME?,7/18/2010,#NAME?,1/18/2011,#NAME?,1/18/2013,#NAME?,1/18/2015,#NAME?,#NAME?
10/24/2018,CCC CN Equity,CCC CN,CCC CN,Carlyle Commodities Corp,CAD,CA,0.2,7.50E+06,"IPO,Primary Share Offering,Best Efforts,REG S,Rule 144A",0.2,N/A,7/9/2018,1.4,0.7,,3,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,11/24/2018,#NAME?,1/24/2019,#NAME?,4/24/2019,#NAME?,10/24/2019,#NAME?,10/24/2021,#NAME?,10/24/2023,#NAME?,#NAME?
