Initial Pub Offer (Date),IssuerTicker2,IssuerTickerOG,Ticker,Issuer Name,Currency,Country/Region,Initial Pub Offer (Share Price),Initial Pub Offer (Shares Offered),Offer Type,Offer Price,Offer To Date,Pricing Date,Total Debt/Total Assets,Historical Market Cap,Revenues,Size of the Board,% Women on Board,Number of Women on Board,CEO or Equivalent is a Woman,CFO or Equivalent is a Woman,Listing Date,First-Day Closing Price,ID_ISIN,ID_CUSIP,CENTRAL_INDEX_KEY_NUMBER,IPO DATE PLUS 1 M,IPO PRICE AFTER 1M,IPO DATE PLUS 3M,IPO PRICE AFTER 1M,IPO DATE PLUS 6M,IPO PRICE AFTER 6M,IPO DATE PLUS 1 Y,IPO PRICE AFTER 1Y,IPO DATE PLUS 3Y,IPO PRICE AFTER 3Y,IPO DATE PLUS 5Y,IPO PRICE AFTER 5Y,BOARD_SIZE
7/30/2015,AEFu CN Equity,AEFu CN,AEF-U CN,Apollo Healthcare Corp,CAD,CA,10,3.50E+07,"IPO,Primary Share Offering,SPAC,REG S,Rule 144A",10,,6/24/2015,10,102.6,240.1,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,8/30/2015,#NAME?,10/30/2015,#NAME?,1/30/2016,#NAME?,7/30/2016,#NAME?,7/30/2018,#NAME?,7/30/2020,#NAME?,#NAME?
11/2/2020,NRRu CN Equity,NRRu CN,NRR-U CN,Northview Residential REIT,CAD,CA,12.5,3.44E+07,"IPO,Primary Share Offering,Best Efforts,Rule 144A",12.5,-32.8,4/29/2020,61.6,83,201.5,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/2/2020,#NAME?,2/2/2021,#NAME?,5/2/2021,#NAME?,11/2/2021,#NAME?,11/2/2023,#NAME?,11/2/2025,#NAME?,#NAME?
3/16/2017,GOOS CN Equity,GOOS CN,GOOS CN,Canada Goose Holdings Inc,CAD,CA,17,2.00E+07,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,Dual Listing,Emerging Growth Company",17,-30.17647059,3/15/2017,49.1,964.2,989.2,10,30,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/16/2017,#NAME?,6/16/2017,#NAME?,9/16/2017,#NAME?,3/16/2018,#NAME?,3/16/2020,#NAME?,3/16/2022,#NAME?,#NAME?
5/25/2017,AQYu CN Equity,AQYu CN,AQY-U CN,Sagicor Financial Co Ltd,CAD,CA,10,3.50E+07,"IPO,Primary Share Offering,SPAC,REG S,Rule 144A",10,,5/1/2017,4.3,582.8,1835.3,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,6/25/2017,#NAME?,8/25/2017,#NAME?,11/25/2017,#NAME?,5/25/2018,#NAME?,5/25/2020,#NAME?,5/25/2022,#NAME?,#NAME?
N.A.,0820421D CN Equity,0820421D CN,0820421D CN,MRF 2013 II Resource LP,CAD,CA,,,"IPO,Primary Share Offering,Best Efforts",25,,3/19/2013,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#NAME?
5/26/2021,TFPM CN Equity,TFPM CN,TFPM CN,Triple Flag Precious Metals Corp,CAD,CA,13,1.92E+07,"IPO,Primary Share Offering",13,74.74418368,5/19/2021,0.1,3020.2,268.9,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,6/26/2021,#NAME?,8/26/2021,#NAME?,11/26/2021,#NAME?,5/26/2022,#NAME?,5/26/2024,#NAME?,5/26/2026,#NAME?,#NAME?
6/24/2021,PET CN Equity,PET CN,PET CN,Pet Valu Holdings Ltd,CAD,CA,20,1.38E+07,"IPO,Primary Share Offering,REG S",20,23.7,6/24/2021,77.6,1199.2,801.4,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,7/24/2021,#NAME?,9/24/2021,#NAME?,12/24/2021,#NAME?,6/24/2022,#NAME?,6/24/2024,#NAME?,6/24/2026,#NAME?,#NAME?
4/23/2014,2448718D CN Equity,2448718D CN,2448718D CN,Callidus Capital Corp,CAD,CA,14,1.80E+07,"IPO,Primary Share Offering,Bought Deal",14,,4/15/2014,76.6,22.2,321.5,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,5/23/2014,#NAME?,7/23/2014,#NAME?,10/23/2014,#NAME?,4/23/2015,#NAME?,4/23/2017,#NAME?,4/23/2019,#NAME?,#NAME?
8/18/2005,CUS CN Equity,CUS CN,CUS CN,Chemtrade Electrochem Inc,CAD,CA,10,3.00E+07,IPO,10,,6/30/2005,32,,480.3,8,12.5,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,9/18/2005,#NAME?,11/18/2005,#NAME?,2/18/2006,#NAME?,8/18/2006,#NAME?,8/18/2008,#NAME?,8/18/2010,#NAME?,#NAME?
7/7/2017,JWEL CN Equity,JWEL CN,JWEL CN,Jamieson Wellness Inc,CAD,CA,15.75,1.91E+07,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",15.75,86.66666667,6/29/2017,35.9,1060,535.6,8,50,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,8/7/2017,#NAME?,10/7/2017,#NAME?,1/7/2018,#NAME?,7/7/2018,#NAME?,7/7/2020,#NAME?,7/7/2022,#NAME?,#NAME?
7/16/2015,ZZZ CN Equity,ZZZ CN,ZZZ CN,Sleep Country Canada Holdings Inc,CAD,CA,17,1.77E+07,"IPO,Primary Share Offering,PE Backed,REG S,Rule 144A",17,105.8235294,7/10/2015,43.8,646.5,693,7,28.5714,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,8/16/2015,#NAME?,10/16/2015,#NAME?,1/16/2016,#NAME?,7/16/2016,#NAME?,7/16/2018,#NAME?,7/16/2020,#NAME?,#NAME?
